追番,警察署,目撃(発見)年月日,目撃(発見)時間,目撃(発見)場所,状況,頭数,体長,緯度,経度
132,光,令和6年6月25日,18:00,"周南市大字屋関屋
　　県道脇",車で走行中、県道脇にいる熊を目撃したもの,1,約80cm,34.06726 ,131.95307 
133,萩,令和6年6月27日,10:30,"萩市大字上小川西分
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約80cm,34.56712 ,131.66514 
134,周南,令和6年6月27日,15:45,"周南市大字長穂
　　路上",徒歩にて移動中、路上を横切る熊を目撃したもの,2,"約100cm
約50cm",34.13086 ,131.83350 
135,長門,令和6年6月29日,5:15,"長門市深川湯本
　　国道上",車で走行中、国道沿いを移動する熊を目撃したもの,1,約100cm,34.32016 ,131.18487 
136,周南,令和6年6月30日,12:05,"周南市大字米光
　　国道上",車で走行中、国道を横切る熊を目撃したもの,1,約100cm,34.13461 ,131.73580 
137,萩,令和6年6月30日,17:40,"萩市大字高佐下
　　田畑",近所の者と雑談中、田畑内を横切る熊を目撃したもの,1,約100cm,34.45827 ,131.59231 
138,長門,令和6年6月29日,9:40,長門市油谷藏小田,車で走行中、市道脇にいる熊を目撃したもの,1,約100cm,34.38268 ,131.06603 
139,萩,令和6年7月1日,18:18,"萩市大字弥富上
　　国道上",車で走行中、国道脇にいる熊を目撃したもの,1,約100cm,34.55052 ,131.61440 
140,小串,令和6年7月1日,17:10,"下関市豊北町大字粟野
　　市道上",犬の散歩中、山に移動していく熊を目撃したもの,1,約70ccm,34.30369 ,130.97615 
141,山口,令和6年7月2日,18:35,"山口市阿東徳佐下
　　国道上",車で走行中、国道上にいる熊を目撃したもの,1,約120cm,34.38206 ,131.72119 
142,柳井,令和6年7月2日,19:25,"熊毛郡田布施町大字上田布施
　　田畑",自宅の外にいたところ、田んぼの中を移動する熊ようの動物を目撃したもの,1,約100cm,33.94383 ,132.01060 
143,萩,令和6年7月3日,15:00,"萩市大字佐々並
　　市道上",自転車で走行中、市道脇にいる熊を目撃したもの,1,約100cm,34.28573 ,131.46581 
144,光,令和6年7月3日,17:10,"周南市大字奥関屋
　　県道上",車で走行中、県道脇にいる熊を目撃したもの,1,約50cm,34.07292 ,131.94812 
145,柳井,令和6年7月4日,20:45,"柳井市柳井
　　県道上",車で走行中、県道を横切ろうとする熊を目撃したもの,1,約100cm,33.98621 ,132.09780 
146,美祢,令和6年7月5日,10:10,"美祢市秋芳町別府
　　山中",花尾山から下山中、登山道を横切る熊を目撃したもの,1,約130cm,34.27636 ,131.22670 
147,長府,令和6年7月6日,7:20,"下関市清末鞍馬一丁目
　　藪の中",目撃者徒歩にて進行中、藪の中を移動する熊ようの動物を目撃したもの,1,約100cm,34.06348 ,131.02320 
148,山口,令和6年7月7日,5:30,"山口市秋穂東大河内地区
　　海岸沿い",目撃者が散歩中、海から砂浜に上がってきた熊を目撃したもの,1,約100cm,34.03797 ,131.47488 
149,防府,令和6年7月7日,7:34,"防府市台道
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.04340 ,131.47587 
150,柳井,令和6年7月8日,14:40,"柳井市伊陸
　　川土手",車で走行中、川土手において熊ようの動物を目撃したもの,1,約100cm,34.02451 ,132.12724 
151,光,令和6年7月7日,11:00,"光市大字塩田
　　水田",水田内に熊の足跡を発見したもの,不明,不明,34.00936 ,132.04849 
152,岩国,令和6年7月8日,16:41,"岩国市本郷町波野
　　県道上　",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.25019 ,132.02718 
153,周南,令和6年7月8日,19:16,"周南市大字馬神
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.12297 ,131.71502 
154,山口,令和6年7月8日,20:30,"山口市阿東徳佐下
　　国道上",車で走行中、国道脇にいる熊を目撃したもの,1,約100cm,34.37907 ,131.69899 
155,萩,令和6年7月9日,7:30,"萩市大字高佐上
　むつみ演習場内",むつみ演習場内にいる熊を目撃したもの,1,約100cm,34.49581 ,131.60845 
156,萩,令和6年7月9日,10:40,"萩市大字福井下
　　山中",車で走行中、山中を移動する熊を目撃したもの,1,約100cm,34.41116 ,131.48210 
157,萩,令和6年7月9日,17:50,"萩市大字吉部下
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.42675 ,131.56497 
158,萩,令和6年7月10日,16:40,"萩市大字高佐上
　　むつみ演習場内",むつみ演習場内にいる熊を目撃したもの,1,約90cm,34.48649 ,131.59597 
159,光,令和6年7月9日,15:00,"周南市大字原
　　田んぼの畔",草刈中、田んぼの畔を移動する熊を目撃したもの,1,約100cm,34.05860 ,131.96627 
